processed-text,ensemble_sentiment_label
thing became sin unto house jeroboam even cut destroy face earth,negative
time abijah son jeroboam fell sick,negative
jeroboam said wife arise pray thee disguise thyself thou known wife jeroboam get thee shiloh behold ahijah prophet told king people,positive
take thee ten loaf cracknels cruse honey go shall tell thee shall become child,positive
jeroboam wife arose went shiloh came house ahijah ahijah could see eye set reason age,neutral
lord said unto ahijah behold wife jeroboam cometh ask thing thee son sick thus thus shalt thou say unto shall cometh shall feign another woman,negative
ahijah heard sound foot came door said come thou wife jeroboam feignest thou thyself another sent thee heavy tidings,positive
go tell jeroboam thus saith lord god israel forasmuch exalted thee among people made thee prince people israel,positive
rent kingdom away house david gave thee yet thou hast servant david kept commandment followed heart right mine eye,neutral
hast done evil thee thou hast gone made thee god molten image provoke anger hast cast behind thy back,negative
therefore behold bring evil upon house jeroboam cut jeroboam pisseth wall shut left israel take away remnant house jeroboam man taketh away dung till gone,negative
dieth jeroboam city shall dog eat dieth field shall fowl air eat lord hath spoken,neutral
arise thou therefore get thee thine house thy foot enter city child shall die,negative
israel shall mourn bury jeroboam shall come grave found good thing toward lord god israel house jeroboam,negative
moreover lord shall raise king israel shall cut house jeroboam day even,negative
lord shall smite israel reed shaken water shall root israel good land gave father shall scatter beyond river made grove provoking lord anger,negative
shall give israel sin jeroboam sin made israel sin,negative
jeroboam wife arose departed came tirzah came threshold door child died,negative
buried israel mourned according word lord spake hand servant ahijah prophet,negative
rest act jeroboam warred reigned behold written book chronicle king israel,positive
day jeroboam reigned two twenty year slept father nadab son reigned stead,neutral
rehoboam son solomon reigned judah rehoboam forty one year old began reign reigned seventeen year jerusalem city lord choose tribe israel put name mother name naamah ammonite,positive
judah evil sight lord provoked jealousy sin committed father done,negative
also built high place image grove every high hill every green tree,positive
also sodomite land according abomination nation lord cast child israel,negative
came pas fifth year king rehoboam shishak king egypt came jerusalem,neutral
took away treasure house lord treasure king house even took away took away shield gold solomon made,positive
king rehoboam made stead brazen shield committed unto hand chief guard kept door king house,positive
king went house lord guard bare brought back guard chamber,positive
rest act rehoboam written book chronicle king judah,neutral
war rehoboam jeroboam day,neutral
rehoboam slept father buried father city david mother name naamah ammonite abijam son reigned stead,negative
eighteenth year king jeroboam son nebat reigned abijam judah,neutral
three year reigned jerusalem mother name maachah daughter abishalom,neutral
walked sin father done heart perfect lord god heart david father,positive
nevertheless david sake lord god give lamp jerusalem set son establish jerusalem,negative
david right eye lord turned aside thing commanded day life save matter uriah hittite,positive
war rehoboam jeroboam day life,neutral
rest act abijam written book chronicle king judah war abijam jeroboam,positive
abijam slept father buried city david asa son reigned stead,negative
twentieth year jeroboam king israel reigned asa judah,neutral
forty one year reigned jerusalem mother name maachah daughter abishalom,neutral
asa right eye lord david father,neutral
took away sodomite land removed idol father made,neutral
also maachah mother even removed queen made idol grove asa destroyed idol burnt brook kidron,negative
high place removed nevertheless asa heart perfect lord day,positive
brought thing father dedicated thing dedicated house lord silver gold vessel,positive
war asa baasha king israel day,positive
baasha king israel went judah built ramah might suffer go come asa king judah,neutral
asa took silver gold left treasure house lord treasure king house delivered hand servant king asa sent benhadad son tabrimon son hezion king syria dwelt damascus saying,positive
league thee father thy father behold sent unto thee present silver gold come break thy league baasha king israel may depart,neutral
benhadad hearkened unto king asa sent captain host city israel smote ijon dan abelbethmaachah cinneroth land naphtali,positive
came pas baasha heard thereof left building ramah dwelt tirzah,neutral
king asa made proclamation throughout judah none exempted took away stone ramah timber thereof wherewith baasha builded king asa built geba benjamin mizpah,neutral
rest act asa might city built written book chronicle king judah nevertheless time old age diseased foot,positive
asa slept father buried father city david father jehoshaphat son reigned stead,negative
nadab son jeroboam began reign israel second year asa king judah reigned israel two year,neutral
evil sight lord walked way father sin wherewith made israel sin,negative
baasha son ahijah house issachar conspired baasha smote gibbethon belonged philistine nadab israel laid siege gibbethon,neutral
even third year asa king judah baasha slay reigned stead,positive
came pas reigned smote house jeroboam left jeroboam breathed destroyed according unto saying lord spake servant ahijah shilonite,negative
sin jeroboam sinned made israel sin provocation wherewith provoked lord god israel anger,negative
rest act nadab written book chronicle king israel,neutral
war asa baasha king israel day,positive
third year asa king judah began baasha son ahijah reign israel tirzah twenty four year,neutral
evil sight lord walked way jeroboam sin wherewith made israel sin,negative
word lord came jehu son hanani baasha saying,neutral
forasmuch exalted thee dust made thee prince people israel thou hast walked way jeroboam hast made people israel sin provoke anger sin,negative
behold take away posterity baasha posterity house make thy house like house jeroboam son nebat,positive
dieth baasha city shall dog eat dieth field shall fowl air eat,neutral
rest act baasha might written book chronicle king israel,neutral
baasha slept father buried tirzah elah son reigned stead,negative
also hand prophet jehu son hanani came word lord baasha house even evil sight lord provoking anger work hand like house jeroboam killed,negative
twenty sixth year asa king judah began elah son baasha reign israel tirzah two year,neutral
servant zimri captain half chariot conspired tirzah drinking drunk house arza steward house tirzah,negative
zimri went smote killed twenty seventh year asa king judah reigned stead,negative
came pas began reign soon sat throne slew house baasha left one pisseth wall neither kinsfolk friend,neutral
thus zimri destroy house baasha according word lord spake baasha jehu prophet,negative
sin baasha sin elah son sinned made israel sin provoking lord god israel anger vanity,negative
rest act elah written book chronicle king israel,neutral
twenty seventh year asa king judah zimri reign seven day tirzah people encamped gibbethon belonged philistine,neutral
people encamped heard say zimri hath conspired hath also slain king wherefore israel made omri captain host king israel day camp,positive
omri went gibbethon israel besieged tirzah,neutral
came pas zimri saw city taken went palace king house burnt king house fire died,negative
sin sinned evil sight lord walking way jeroboam sin make israel sin,negative
rest act zimri treason wrought written book chronicle king israel,negative
people israel divided two part half people followed tibni son ginath make king half followed omri,neutral
people followed omri prevailed people followed tibni son ginath tibni died omri reigned,negative
thirty first year asa king judah began omri reign israel twelve year six year reigned tirzah,neutral
bought hill samaria shemer two talent silver built hill called name city built name shemer owner hill samaria,positive
omri wrought evil eye lord worse,negative
walked way jeroboam son nebat sin wherewith made israel sin provoke lord god israel anger vanity,negative
rest act omri might showed written book chronicle king israel,neutral
omri slept father buried samaria ahab son reigned stead,negative
thirty eighth year asa king judah began ahab son omri reign israel ahab son omri reigned israel samaria twenty two year,neutral
ahab son omri evil sight lord,negative
came pas light thing walk sin jeroboam son nebat took wife jezebel daughter ethbaal king zidonians went served baal worshipped,negative
reared altar baal house baal built samaria,neutral
ahab made grove ahab provoke lord god israel anger king israel,negative
day hiel bethelite build jericho laid foundation thereof abiram firstborn set gate thereof youngest son segub according word lord spake joshua son nun,neutral
elijah tishbite inhabitant gilead said unto ahab lord god israel liveth stand shall dew rain year according word,positive
word lord came unto saying,neutral
get thee hence turn thee eastward hide thyself brook cherith jordan,negative
shall thou shalt drink brook commanded raven feed thee,neutral
went according unto word lord went dwelt brook cherith jordan,neutral
raven brought bread flesh morning bread flesh evening drank brook,neutral
came pas brook dried rain land,neutral
word lord came unto saying,neutral
arise get thee zarephath belongeth zidon dwell behold commanded widow woman sustain thee,positive
arose went zarephath came gate city behold widow woman gathering stick called said fetch pray thee little water vessel may drink,positive
going fetch called said bring pray thee morsel bread thine hand,positive
said lord thy god liveth cake handful meal barrel little oil cruse behold gathering two stick may go dress son may eat die,negative
elijah said unto fear go thou hast said make thereof little cake first bring unto make thee thy son,negative
thus saith lord god israel barrel meal shall waste neither shall cruse oil fail day lord sendeth rain upon earth,neutral
went according saying elijah house eat many day,neutral
barrel meal wasted neither cruse oil fail according word lord spake elijah,negative
came pas thing son woman mistress house fell sick sickness sore breath left,negative
said unto elijah thee thou man god art thou come unto call sin remembrance slay son,negative
said unto give thy son took bosom carried loft abode laid upon bed,neutral
cried unto lord said lord god hast thou also brought evil upon widow sojourn slaying son,negative
stretched upon child three time cried unto lord said lord god pray thee let child soul come,positive
lord heard voice elijah soul child came revived,neutral
elijah took child brought chamber house delivered unto mother elijah said see thy son liveth,positive
woman said elijah know thou art man god word lord thy mouth truth,positive
came pas many day word lord came elijah third year saying go show thyself unto ahab send rain upon earth,neutral
elijah went show unto ahab sore famine samaria,negative
ahab called obadiah governor house obadiah feared lord greatly,negative
jezebel cut prophet lord obadiah took hundred prophet hid fifty cave fed bread water,negative
ahab said unto obadiah go land unto fountain water unto brook peradventure may find grass save horse mule alive lose beast,positive
divided land pas throughout ahab went one way obadiah went another way,neutral
obadiah way behold elijah met knew fell face said art thou lord elijah,negative
answered go tell thy lord behold elijah,negative
said sinned thou wouldest deliver thy servant hand ahab slay,positive
lord thy god liveth nation kingdom whither lord hath sent seek thee said took oath kingdom nation found thee,negative
thou sayest go tell thy lord behold elijah,neutral
shall come pas soon gone thee spirit lord shall carry thee whither know come tell ahab find thee shall slay thy servant fear lord youth,negative
told lord jezebel slew prophet lord hid hundred men lord prophet fifty cave fed bread water,negative
thou sayest go tell thy lord behold elijah shall slay,negative
elijah said lord host liveth stand surely show unto day,positive
obadiah went meet ahab told ahab went meet elijah,neutral
came pas ahab saw elijah ahab said unto art thou troubleth israel,neutral
answered troubled israel thou thy father house ye forsaken commandment lord thou hast followed baalim,negative
therefore send gather israel unto mount carmel prophet baal four hundred fifty prophet grove four hundred eat jezebel table,neutral
ahab sent unto child israel gathered prophet together unto mount carmel,neutral
elijah came unto people said long halt ye two opinion lord god follow baal follow people answered word,negative
said elijah unto people even remain prophet lord baal prophet four hundred fifty men,positive
let therefore give u two bullock let choose one bullock cut piece lay wood put fire dress bullock lay wood put fire,negative
call ye name god call name lord god answereth fire let god people answered said well spoken,positive
elijah said unto prophet baal choose one bullock dress first ye many call name god put fire,neutral
took bullock given dressed called name baal morning even noon saying baal hear u voice answered leaped upon altar made,neutral
came pas noon elijah mocked said cry aloud god either talking pursuing journey peradventure sleepeth must awaked,negative
cried aloud cut manner knife lancet till blood gushed upon,negative
came pas midday past prophesied time offering evening sacrifice neither voice answer regarded,positive
elijah said unto people come near unto people came near unto repaired altar lord broken,negative
elijah took twelve stone according number tribe son jacob unto word lord came saying israel shall thy name,negative
stone built altar name lord made trench altar great would contain two measure seed,neutral
put wood order cut bullock piece laid wood said fill four barrel water pour burnt sacrifice wood,negative
said second time second time said third time third time,neutral
water ran round altar filled trench also water,neutral
came pas time offering evening sacrifice elijah prophet came near said lord god abraham isaac israel let known day thou art god israel thy servant done thing thy word,positive
hear lord hear people may know thou art lord god thou hast turned heart back,positive
fire lord fell consumed burnt sacrifice wood stone dust licked water trench,negative
people saw fell face said lord god lord god,positive
elijah said unto take prophet baal let one escape took elijah brought brook kishon slew,positive
elijah said unto ahab get thee eat drink sound abundance rain,positive
ahab went eat drink elijah went top carmel cast upon earth put face knee,neutral
said servant go look toward sea went looked said nothing said go seven time,neutral
came pas seventh time said behold ariseth little cloud sea like man hand said go say unto ahab prepare thy chariot get thee rain stop thee,positive
came pas mean heaven black cloud wind great rain ahab rode went jezreel,positive
hand lord elijah girded loin ran ahab entrance jezreel,positive
ahab told jezebel elijah done withal slain prophet sword,neutral
jezebel sent messenger unto elijah saying let god also make thy life life one morrow time,neutral
saw arose went life came beersheba belongeth judah left servant,neutral
went day journey wilderness came sat juniper tree requested might die said enough lord take away life better father,positive
lay slept juniper tree behold angel touched said unto arise eat,positive
looked behold cake baken coal cruse water head eat drink laid,neutral
angel lord came second time touched said arise eat journey great thee,positive
arose eat drink went strength meat forty day forty night unto horeb mount god,positive
came thither unto cave lodged behold word lord came said unto doest thou elijah,neutral
said jealous lord god host child israel forsaken thy covenant thrown thine altar slain thy prophet sword even left seek life take away,negative
said go forth stand upon mount lord behold lord passed great strong wind rent mountain brake piece rock lord lord wind wind earthquake lord earthquake,positive
earthquake fire lord fire fire still small voice,negative
elijah heard wrapped face mantle went stood entering cave behold came voice unto said doest thou elijah,neutral
said jealous lord god host child israel forsaken thy covenant thrown thine altar slain thy prophet sword even left seek life take away,negative
lord said unto go return thy way wilderness damascus thou comest anoint hazael king syria,positive
jehu son nimshi shalt thou anoint king israel elisha son shaphat abelmeholah shalt thou anoint prophet thy room,neutral
shall come pas escapeth sword hazael shall jehu slay escapeth sword jehu shall elisha slay,neutral
yet left seven thousand israel knee bowed unto baal every mouth hath kissed,positive
departed thence found elisha son shaphat plowing twelve yoke ox twelfth elijah passed cast mantle upon,neutral
left ox ran elijah said let pray thee kiss father mother follow thee said unto go back done thee,positive
returned back took yoke ox slew boiled flesh instrument ox gave unto people eat arose went elijah ministered unto,positive
benhadad king syria gathered host together thirty two king horse chariot went besieged samaria warred,positive
sent messenger ahab king israel city said unto thus saith benhadad,neutral
thy silver thy gold mine thy wife also thy child even goodliest mine,positive
king israel answered said lord king according thy saying thine,positive
messenger came said thus speaketh benhadad saying although sent unto thee saying thou shalt deliver thy silver thy gold thy wife thy child,neutral
yet send servant unto thee morrow time shall search thine house house thy servant shall whatsoever pleasant thine eye shall put hand take away,positive
king israel called elder land said mark pray see man seeketh mischief sent unto wife child silver gold denied,negative
elder people said unto hearken unto consent,positive
wherefore said unto messenger benhadad tell lord king thou didst send thy servant first thing may messenger departed brought word,neutral
benhadad sent unto said god unto also dust samaria shall suffice handful people follow,negative
king israel answered said tell let girdeth harness boast putteth,positive
came pas heard message drinking king pavilion said unto servant set array set array city,positive
behold came prophet unto ahab king israel saying thus saith lord hast thou seen great multitude behold deliver thine hand day thou shalt know lord,positive
ahab said said thus saith lord even young men prince province said shall order battle answered thou,negative
numbered young men prince province two hundred thirty two numbered people even child israel seven thousand,positive
went noon benhadad drinking drunk pavilion king thirty two king helped,positive
young men prince province went first benhadad sent told saying men come samaria,neutral
said whether come peace take alive whether come war take alive,positive
young men prince province came city army followed,neutral
slew every one man syrian fled israel pursued benhadad king syria escaped horse horseman,neutral
king israel went smote horse chariot slew syrian great slaughter,positive
prophet came king israel said unto go strengthen thyself mark see thou doest return year king syria come thee,positive
servant king syria said unto god god hill therefore stronger let u fight plain surely shall stronger,positive
thing take king away every man place put captain room,positive
number thee army like army thou hast lost horse horse chariot chariot fight plain surely shall stronger hearkened unto voice,negative
came pas return year benhadad numbered syrian went aphek fight israel,negative
child israel numbered present went child israel pitched like two little flock kid syrian filled country,positive
came man god spake unto king israel said thus saith lord syrian said lord god hill god valley therefore deliver great multitude thine hand ye shall know lord,positive
pitched one seven day seventh day battle joined child israel slew syrian hundred thousand footman one day,negative
rest fled aphek city wall fell upon twenty seven thousand men left benhadad fled came city inner chamber,negative
servant said unto behold heard king house israel merciful king let u pray thee put sackcloth loin rope upon head go king israel peradventure save thy life,positive
girded sackcloth loin put rope head came king israel said thy servant benhadad saith pray thee let live said yet alive brother,positive
men diligently observe whether thing would come hastily catch said thy brother benhadad said go ye bring benhadad came forth caused come chariot,neutral
said unto city father took thy father restore thou shalt make street thee damascus father made samaria said ahab send thee away covenant made covenant sent away,neutral
certain man son prophet said unto neighbor word lord smite pray thee man refused smite,negative
said unto thou hast obeyed voice lord behold soon thou art departed lion shall slay thee soon departed lion found slew,negative
found another man said smite pray thee man smote smiting wounded,positive
prophet departed waited king way disguised ash upon face,negative
king passed cried unto king said thy servant went midst battle behold man turned aside brought man unto said keep man mean missing shall thy life life else thou shalt pay talent silver,negative
thy servant busy gone king israel said unto shall thy judgment thyself hast decided,positive
hasted took ash away face king israel discerned prophet,positive
said unto thus saith lord thou hast let go thy hand man appointed utter destruction therefore thy life shall go life thy people people,negative
king israel went house heavy displeased came samaria,negative
came pas thing naboth jezreelite vineyard jezreel hard palace ahab king samaria,negative
ahab spake unto naboth saying give thy vineyard may garden herb near unto house give thee better vineyard seem good thee give thee worth money,positive
naboth said ahab lord forbid give inheritance father unto thee,negative
ahab came house heavy displeased word naboth jezreelite spoken said give thee inheritance father laid upon bed turned away face would eat bread,negative
jezebel wife came said unto thy spirit sad thou eatest bread,negative
said unto spake unto naboth jezreelite said unto give thy vineyard money else please thee give thee another vineyard answered give thee vineyard,positive
jezebel wife said unto dost thou govern kingdom israel arise eat bread let thine heart merry give thee vineyard naboth jezreelite,positive
wrote letter ahab name sealed seal sent letter unto elder noble city dwelling naboth,positive
wrote letter saying proclaim fast set naboth high among people,positive
set two men son belial bear witness saying thou didst blaspheme god king carry stone may die,neutral
men city even elder noble inhabitant city jezebel sent unto written letter sent unto,positive
proclaimed fast set naboth high among people,positive
came two men child belial sat men belial witnessed even naboth presence people saying naboth blaspheme god king carried forth city stoned stone died,negative
sent jezebel saying naboth stoned dead,negative
came pas jezebel heard naboth stoned dead jezebel said ahab arise take possession vineyard naboth jezreelite refused give thee money naboth alive dead,negative
came pas ahab heard naboth dead ahab rose go vineyard naboth jezreelite take possession,negative
word lord came elijah tishbite saying,neutral
arise go meet ahab king israel samaria behold vineyard naboth whither gone posse,positive
thou shalt speak unto saying thus saith lord hast thou killed also taken possession thou shalt speak unto saying thus saith lord place dog licked blood naboth shall dog lick thy blood even thine,negative
ahab said elijah hast thou found mine enemy answered found thee thou hast sold thyself work evil sight lord,negative
behold bring evil upon thee take away thy posterity cut ahab pisseth wall shut left israel,negative
make thine house like house jeroboam son nebat like house baasha son ahijah provocation wherewith thou hast provoked anger made israel sin,negative
jezebel also spake lord saying dog shall eat jezebel wall jezreel,neutral
dieth ahab city dog shall eat dieth field shall fowl air eat,neutral
none like unto ahab sell work wickedness sight lord jezebel wife stirred,negative
abominably following idol according thing amorites lord cast child israel,negative
came pas ahab heard word rent clothes put sackcloth upon flesh fasted lay sackcloth went softly,neutral
word lord came elijah tishbite saying,neutral
seest thou ahab humbleth humbleth bring evil day son day bring evil upon house,negative
continued three year without war syria israel,neutral
came pas third year jehoshaphat king judah came king israel,neutral
king israel said unto servant know ye ramoth gilead still take hand king syria,positive
said unto jehoshaphat wilt thou go battle ramothgilead jehoshaphat said king israel thou art people thy people horse thy horse,negative
jehoshaphat said unto king israel enquire pray thee word lord day,positive
king israel gathered prophet together four hundred men said unto shall go ramothgilead battle shall forbear said go lord shall deliver hand king,positive
jehoshaphat said prophet lord besides might enquire,neutral
king israel said unto jehoshaphat yet one man micaiah son imlah may enquire lord hate doth prophesy good concerning evil jehoshaphat said let king say,positive
king israel called officer said hasten hither micaiah son imlah,positive
king israel jehoshaphat king judah sat throne put robe void place entrance gate samaria prophet prophesied,positive
zedekiah son chenaanah made horn iron said thus saith lord shalt thou push syrian thou consumed,neutral
prophet prophesied saying go ramothgilead prosper lord shall deliver king hand,positive
messenger gone call micaiah spake unto saying behold word prophet declare good unto king one mouth let thy word pray thee like word one speak good,positive
micaiah said lord liveth lord saith unto speak,neutral
came king king said unto micaiah shall go ramothgilead battle shall forbear answered go prosper lord shall deliver hand king,positive
king said unto many time shall adjure thee thou tell nothing true name lord,positive
said saw israel scattered upon hill sheep shepherd lord said master let return every man house peace,positive
king israel said unto jehoshaphat tell thee would prophesy good concerning evil,positive
said hear thou therefore word lord saw lord sitting throne host heaven standing right hand left,positive
lord said shall persuade ahab may go fall ramothgilead one said manner another said manner,neutral
came forth spirit stood lord said persuade,positive
lord said unto wherewith said go forth lying spirit mouth prophet said thou shalt persuade prevail also go forth,negative
therefore behold lord hath put lying spirit mouth thy prophet lord hath spoken evil concerning thee,negative
zedekiah son chenaanah went near smote micaiah cheek said way went spirit lord speak unto thee,positive
micaiah said behold thou shalt see day thou shalt go inner chamber hide thyself,negative
king israel said take micaiah carry back unto amon governor city joash king son,neutral
say thus saith king put fellow prison feed bread affliction water affliction come peace,negative
micaiah said thou return peace lord hath spoken said hearken people every one,positive
king israel jehoshaphat king judah went ramothgilead,neutral
king israel said unto jehoshaphat disguise enter battle put thou thy robe king israel disguised went battle,negative
king syria commanded thirty two captain rule chariot saying fight neither small great save king israel,negative
came pas captain chariot saw jehoshaphat said surely king israel turned aside fight jehoshaphat cried,positive
came pas captain chariot perceived king israel turned back pursuing,positive
certain man drew bow venture smote king israel joint harness wherefore said unto driver chariot turn thine hand carry host wounded,positive
battle increased day king stayed chariot syrian died even blood ran wound midst chariot,negative
went proclamation throughout host going sun saying every man city every man country,neutral
king died brought samaria buried king samaria,negative
one washed chariot pool samaria dog licked blood washed armor according unto word lord spake,negative
rest act ahab ivory house made city built written book chronicle king israel,neutral
ahab slept father ahaziah son reigned stead,neutral
jehoshaphat son asa began reign judah fourth year ahab king israel,neutral
jehoshaphat thirty five year old began reign reigned twenty five year jerusalem mother name azubah daughter shilhi,positive
walked way asa father turned aside right eye lord nevertheless high place taken away people offered burnt incense yet high place,negative
jehoshaphat made peace king israel,positive
rest act jehoshaphat might showed warred written book chronicle king judah,neutral
remnant sodomite remained day father asa took land,neutral
king edom deputy king,neutral
jehoshaphat made ship tharshish go ophir gold went ship broken eziongeber,negative
said ahaziah son ahab unto jehoshaphat let servant go thy servant ship jehoshaphat would,neutral
jehoshaphat slept father buried father city david father jehoram son reigned stead,negative
ahaziah son ahab began reign israel samaria seventeenth year jehoshaphat king judah reigned two year israel,neutral
evil sight lord walked way father way mother way jeroboam son nebat made israel sin,negative
served baal worshipped provoked anger lord god israel according father done,positive
moab rebelled israel death ahab,negative
ahaziah fell lattice upper chamber samaria sick sent messenger said unto go enquire baalzebub god ekron whether shall recover disease,negative
angel lord said elijah tishbite arise go meet messenger king samaria say unto god israel ye go enquire baalzebub god ekron,positive
therefore thus saith lord thou shalt come bed thou art gone shalt surely die elijah departed,negative
messenger turned back unto said unto ye turned back,neutral
said unto came man meet u said unto u go turn unto king sent say unto thus saith lord god israel thou sendest enquire baalzebub god ekron therefore thou shalt come bed thou art gone shalt surely die,positive
said unto manner man came meet told word,neutral
answered hairy man girt girdle leather loin said elijah tishbite,negative
king sent unto captain fifty fifty went behold sat top hill spake unto thou man god king hath said come,positive
elijah answered said captain fifty man god let fire come heaven consume thee thy fifty came fire heaven consumed fifty,positive
also sent unto another captain fifty fifty answered said unto man god thus hath king said come quickly,positive
elijah answered said unto man god let fire come heaven consume thee thy fifty fire god came heaven consumed fifty,positive
sent captain third fifty fifty third captain fifty went came fell knee elijah besought said unto man god pray thee let life life fifty thy servant precious thy sight,positive
behold came fire heaven burnt two captain former fifty fifty therefore let life precious thy sight,positive
angel lord said unto elijah go afraid arose went unto king,positive
said unto thus saith lord forasmuch thou hast sent messenger enquire baalzebub god ekron god israel enquire word therefore thou shalt come bed thou art gone shalt surely die,positive
died according word lord elijah spoken jehoram reigned stead second year jehoram son jehoshaphat king judah son,negative
rest act ahaziah written book chronicle king israel,neutral
came pas lord would take elijah heaven whirlwind elijah went elisha gilgal,neutral
elijah said unto elisha tarry pray thee lord hath sent bethel elisha said unto lord liveth thy soul liveth leave thee went bethel,positive
son prophet bethel came forth elisha said unto knowest thou lord take away thy master thy head day said yea know hold ye peace,positive
elijah said unto elisha tarry pray thee lord hath sent jericho said lord liveth thy soul liveth leave thee came jericho,positive
son prophet jericho came elisha said unto knowest thou lord take away thy master thy head day answered yea know hold ye peace,positive
elijah said unto tarry pray thee lord hath sent jordan said lord liveth thy soul liveth leave thee two went,positive
fifty men son prophet went stood view afar two stood jordan,neutral
elijah took mantle wrapped together smote water divided hither thither two went dry ground,negative
came pas gone elijah said unto elisha ask shall thee taken away thee elisha said pray thee let double portion thy spirit upon,positive
said thou hast asked hard thing nevertheless thou see taken thee shall unto thee shall,negative
came pas still went talked behold appeared chariot fire horse fire parted asunder elijah went whirlwind heaven,negative
elisha saw cried father father chariot israel horseman thereof saw took hold clothes rent two piece,negative
took also mantle elijah fell went back stood bank jordan,neutral
took mantle elijah fell smote water said lord god elijah also smitten water parted hither thither elisha went,negative
son prophet view jericho saw said spirit elijah doth rest elisha came meet bowed ground,positive
said unto behold thy servant fifty strong men let go pray thee seek thy master lest peradventure spirit lord hath taken cast upon mountain valley said ye shall send,positive
urged till ashamed said send sent therefore fifty men sought three day found,negative
came tarried jericho said unto say unto go,neutral
men city said unto elisha behold pray thee situation city pleasant lord seeth water naught ground barren,positive
said bring new cruse put salt therein brought,positive
went forth unto spring water cast salt said thus saith lord healed water shall thence death barren land,negative
water healed unto day according saying elisha spake,neutral
went thence unto bethel going way came forth little child city mocked said unto go thou bald head go thou bald head,negative
turned back looked cursed name lord came forth two bear wood tare forty two child,neutral
went thence mount carmel thence returned samaria,neutral
jehoram son ahab began reign israel samaria eighteenth year jehoshaphat king judah reigned twelve year,neutral
wrought evil sight lord like father like mother put away image baal father made,negative
nevertheless cleaved unto sin jeroboam son nebat made israel sin departed therefrom,negative
mesha king moab sheepmaster rendered unto king israel hundred thousand lamb hundred thousand ram wool,neutral
came pas ahab dead king moab rebelled king israel,negative
king jehoram went samaria time numbered israel,neutral
went sent jehoshaphat king judah saying king moab hath rebelled wilt thou go moab battle said go thou art people thy people horse thy horse,positive
said way shall go answered way wilderness edom,neutral
king israel went king judah king edom fetched compass seven day journey water host cattle followed,neutral
king israel said ala lord hath called three king together deliver hand moab,positive
jehoshaphat said prophet lord may enquire lord one king israel servant answered said elisha son shaphat poured water hand elijah,positive
jehoshaphat said word lord king israel jehoshaphat king edom went,neutral
elisha said unto king israel thee get thee prophet thy father prophet thy mother king israel said unto nay lord hath called three king together deliver hand moab,positive
elisha said lord host liveth stand surely regard presence jehoshaphat king judah would look toward thee see thee,positive
bring minstrel came pas minstrel played hand lord came upon,positive
said thus saith lord make valley full ditch,neutral
thus saith lord ye shall see wind neither shall ye see rain yet valley shall filled water ye may drink ye cattle beast,positive
light thing sight lord deliver moabites also hand,positive
ye shall smite every fenced city every choice city shall fell every good tree stop well water mar every good piece land stone,positive
came pas morning meat offering offered behold came water way edom country filled water,neutral
moabites heard king come fight gathered able put armor upward stood border,positive
rose early morning sun shone upon water moabites saw water side red blood,neutral
said blood king surely slain smitten one another therefore moab spoil,positive
came camp israel israelite rose smote moabites fled went forward smiting moabites even country,positive
beat city every good piece land cast every man stone filled stopped well water felled good tree kirharaseth left stone thereof howbeit slinger went smote,positive
king moab saw battle sore took seven hundred men drew sword break even unto king edom could,positive
took eldest son reigned stead offered burnt offering upon wall great indignation israel departed returned land,negative
cried certain woman wife son prophet unto elisha saying thy servant husband dead thou knowest thy servant fear lord creditor come take unto two son bondman,negative
elisha said unto shall thee tell hast thou house said thine handmaid hath thing house save pot oil,positive
said go borrow thee vessel abroad thy neighbor even empty vessel borrow,negative
thou art come thou shalt shut door upon thee upon thy son shalt pour vessel thou shalt set aside full,neutral
went shut door upon upon son brought vessel poured,positive
came pas vessel full said unto son bring yet vessel said unto vessel oil stayed,neutral
came told man god said go sell oil pay thy debt live thou thy child rest,negative
fell day elisha passed shunem great woman constrained eat bread oft passed turned thither eat bread,positive
said unto husband behold perceive holy man god passeth u continually,positive
let u make little chamber pray thee wall let u set bed table stool candlestick shall cometh u shall turn thither,positive
fell day came thither turned chamber lay,negative
said gehazi servant call shunammite called stood,positive
said unto say unto behold thou hast careful u care done thee wouldest thou spoken king captain host answered dwell among mine people,positive
said done gehazi answered verily hath child husband old,positive
said call called stood door,positive
said season according time life thou shalt embrace son said nay lord thou man god lie unto thine handmaid,negative
woman conceived bare son season elisha said unto according time life,positive
child grown fell day went father reaper,neutral
said unto father head head said lad carry mother,neutral
taken brought mother sat knee till noon died,negative
went laid bed man god shut door upon went,positive
called unto husband said send pray thee one young men one ass may run man god come,neutral
said wherefore wilt thou go day neither new moon sabbath said shall well,positive
saddled as said servant drive go forward slack thy riding except bid thee,positive
went came unto man god mount carmel came pas man god saw afar said gehazi servant behold yonder shunammite,positive
run pray thee meet say unto well thee well thy husband well child answered well,positive
came man god hill caught foot gehazi came near thrust away man god said let alone soul vexed within lord hath hid hath told,positive
said desire son lord say deceive,negative
said gehazi gird thy loin take staff thine hand go thy way thou meet man salute salute thee answer lay staff upon face child,positive
mother child said lord liveth thy soul liveth leave thee arose followed,negative
gehazi passed laid staff upon face child neither voice hearing wherefore went meet told saying child awaked,neutral
elisha come house behold child dead laid upon bed,negative
went therefore shut door upon twain prayed unto lord,negative
went lay upon child put mouth upon mouth eye upon eye hand upon hand stretched upon child flesh child waxed warm,positive
